ProductID,ProductName,ProductBrand,Gender,Price,Description,PrimaryColor
1066,Gazelle Pro 4,Adidas,Women,12999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1067,Era Pro 5,Vans,Men,7499,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1068,Presto Fly 6,Nike,Women,13999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1069,Superstar Bold 5,Adidas,Men,14999,Classic basketball shoes with a modern twist and bold design,Black
1070,Old Skool Lite 6,Vans,Unisex,6499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1071,Air Zoom Structure 5,Nike,Men,16999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1072,Stan Smith Bold 5,Adidas,Unisex,12999,Classic tennis shoes with a bold design and supportive upper,Red
1073,Sk8-Hi Pro 5,Vans,Men,8499,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1074,Air Force 1 Pro 5,Nike,Unisex,16999,Iconic basketball shoes with a bold design and supportive upper,Navy
1075,Gazelle Pro 5,Adidas,Women,13999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1076,Era Pro 6,Vans,Men,7999,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1077,Presto Fly 7,Nike,Women,14999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1078,Superstar Bold 6,Adidas,Men,15999,Classic basketball shoes with a modern twist and bold design,Black
1079,Old Skool Lite 7,Vans,Unisex,6999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1080,Air Zoom Structure 6,Nike,Men,17999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1081,Stan Smith Bold 6,Adidas,Unisex,13999,Classic tennis shoes with a bold design and supportive upper,Red
1082,Sk8-Hi Pro 6,Vans,Men,8999,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1083,Air Force 1 Pro 6,Nike,Unisex,17999,Iconic basketball shoes with a bold design and supportive upper,Navy
1084,Gazelle Pro 6,Adidas,Women,14999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1085,Era Pro 7,Vans,Men,8499,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1086,Presto Fly 8,Nike,Women,15999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1087,Free 7,Nike,Men,14999,Flexible and breathable running shoes with a lightweight sole and supportive upper,Navy
1088,Rival 7,Adidas,Women,13999,Retro-inspired running shoes with a sleek design and supportive upper,Grey
1089,Sk8-Hi Pro 7,Vans,Men,9299,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Black
1090,Air Zoom Pegasus 5,Nike,Men,17999,Supportive and responsive running shoes with a breathable upper and flexible sole,Red
1091,Stan Smith Pro 5,Adidas,Unisex,14999,Classic tennis shoes with a bold design and supportive upper,Green
1092,Old Skool Lite 8,Vans,Unisex,7499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Purple
1093,Air Force 1 Pro 7,Nike,Unisex,18999,Iconic basketball shoes with a bold design and supportive upper,Blue
1094,Gazelle Pro 7,Adidas,Women,15999,Retro-inspired running shoes with a sleek design and supportive upper,Pink
1095,Era Pro 8,Vans,Men,8999,Classic skateboarding shoes with a low-profile sole and supportive upper,Grey
1096,Presto Fly 9,Nike,Women,16999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Navy
1097,Superstar Pro 5,Adidas,Men,16999,Classic basketball shoes with a modern twist and bold design,Red
1098,Sk8-Hi Pro 8,Vans,Men,9599,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Brown
1099,Air Zoom Structure 7,Nike,Men,18999,Supportive and responsive running shoes with a breathable upper and flexible sole,Black
1100,Stan Smith Pro 6,Adidas,Unisex,15999,Classic tennis shoes with a bold design and supportive upper,Green
1101,Old Skool Lite 9,Vans,Unisex,7999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Purple
1102,Air Force 1 Pro 8,Nike,Unisex,19999,Iconic basketball shoes with a bold design and supportive upper,Blue
1103,Gazelle Pro 8,Adidas,Women,16999,Retro-inspired running shoes with a sleek design and supportive upper,Pink
1104,Air Max 90,Nike,Men,8999,Comfortable running shoes,Black
1105,Ultraboost 21,Adidas,Men,11999,High-performance training sneakers,White
1106,Classic Slip-On,Vans,Unisex,3499,Easy slip-on casual shoes,Black
1107,Chuck Taylor All Star,Converse,Women,2999,Iconic canvas sneakers,Red
1108,Old Skool,Vans,Men,4599,Suede low-top skate shoes,Navy Blue
1109,Gel-Kayano 28,ASICS,Men,9999,Stability running shoes,Grey
1110,Fresh Foam 1080,New Balance,Women,10499,Cushioned athletic shoes,Pink
1111,Air Force 1,Nike,Unisex,7999,Timeless streetwear classic,White
1112,Yeezy Boost 350,Adidas,Unisex,17999,Fashion-forward sneakers,Cream
1113,Ignite Flash,Puma,Women,3999,Lightweight training shoes,Coral
1114,ZoomX Vaporfly,Nike,Men,18999,Elite marathon racing shoes,Green
1115,Cloud X,On Running,Men,11299,Cross-training and running,Black
1116,Adilette Slides,Adidas,Unisex,1999,Comfortable pool slides,Blue
1117,React Infinity Run,Nike,Women,12499,Injury-preventive running shoes,Purple
1118,RS-X3 Puzzle,Puma,Unisex,6799,Chunky retro sneakers,Multi-color
1119,997H,New Balance,Men,5999,Heritage-inspired casual wear,Olive Green
1120,Classic Leather,Reebok,Women,4999,Retro style everyday wear,Beige
1121,Legend Essential,Nike,Women,3799,Training gym shoes,Black
1122,Superstar,Adidas,Unisex,7499,Iconic street-style shell-toe shoes,White
1123,Bamba,Decathlon,Men,1299,Affordable football shoes,Orange
1124,Club C Revenge,Reebok,Men,5899,Tennis-inspired casual wear,White
1125,Phantom GX,Nike,Men,9999,Precision football boots,Blue
1126,Floatride Energy,Reebok,Women,6599,Smooth ride running shoes,Pink
1127,Speedcross 5,Salomon,Men,9999,Trail running and hiking shoes,Green
1128,Grand Court,Adidas,Unisex,4299,Classic court-style sneakers,Black
